Symbol,Token
HINDPETRO-EQ,1406
FORTIS-EQ,14592
PRESTIGE-EQ,20302
GLAND-EQ,1186
NAVINFLUOR-EQ,14672
TORNTPOWER-EQ,13786
GUJGASLTD-EQ,10599
M&MFIN-EQ,13285
BATAINDIA-EQ,371
CONCOR-EQ,4749
FLUOROCHEM-EQ,13750
HONAUT-EQ,3417
OBEROIRLTY-EQ,20242
OIL-EQ,17438
TATAELXSI-EQ,3411
AUBANK-EQ,21238
ASHOKLEY-EQ,212
INDIANB-EQ,14309
IDEA-EQ,14366
ABBOTINDIA-EQ,17903
TVSMOTOR-EQ,8479
ABFRL-EQ,30108
BALKRISIND-EQ,335
LALPATHLAB-EQ,11654
LTTS-EQ,18564
TRIDENT-EQ,9685
SAIL-EQ,2963
MANKIND-EQ,15380
L&TFH-EQ,24948
ESCORTS-EQ,958
MSUMI-EQ,8596
HINDZINC-EQ,1424
AUROPHARMA-EQ,275
VOLTAS-EQ,3718
NHPC-EQ,17400
DIXON-EQ,21690
TIINDIA-EQ,312
BANDHANBNK-EQ,2263
BHARATFORG-EQ,422
CGPOWER-EQ,760
UBL-EQ,16713
DELHIVERY-EQ,9599
RECLTD-EQ,15355
BIOCON-EQ,11373
PETRONET-EQ,11351
ABCAPITAL-EQ,21614
COROMANDEL-EQ,739
NMDC-EQ,15332
CROMPTON-EQ,17094
SUNTV-EQ,13404
PERSISTENT-EQ,18365
JSWENERGY-EQ,17869
SONACOMS-EQ,4684
IPCALAB-EQ,1633
GODREJPROP-EQ,17875
COFORGE-EQ,11543
ZYDUSLIFE-EQ,7929
SYNGENE-EQ,10243
PEL-EQ,2412
MPHASIS-EQ,4503
JUBLFOOD-EQ,18096
UNIONBANK-EQ,10753
LUPIN-EQ,10440
POONAWALLA-EQ,11403
RAMCOCEM-EQ,2043
BANKINDIA-EQ,4745
MAXHEALTH-EQ,22377
POLYCAB-EQ,9590
IGL-EQ,11262
POLICYBZR-EQ,6656
OFSS-EQ,10738
PNB-EQ,10666
TATACHEM-EQ,3405
MRF-EQ,2277
TRENT-EQ,1964
ALKEM-EQ,11703
DALBHARAT-EQ,8075
INDHOTEL-EQ,1512
DEEPAKNTR-EQ,19943
TATACOMM-EQ,3721
DEVYANI-EQ,5373
FEDERALBNK-EQ,1023
MFSL-EQ,2142
TTML-EQ,8954
IRFC-EQ,2029
ZEEL-EQ,3812
ASTRAL-EQ,14418
ADANIPOWER-EQ,17388
SHRIRAMFIN-EQ,4306
PAYTM-EQ,6705
LICHSGFIN-EQ,1997
BHEL-EQ,438
LAURUSLABS-EQ,19234
PFC-EQ,14299
CUMMINSIND-EQ,1901
IDFCFIRSTB-EQ,11184
WHIRLPOOL-EQ,18011
APOLLOTYRE-EQ,163
YESBANK-EQ,11915
